Fisico químico	PH	SM 4500 H+ B	UpH
Fisico químico	Conductivity	SM 2510 B REVISION 2011	uS/cm
Fisico químico	DryWaste	SM 2540 B	mg/l
Fisico químico	BicarbonateAlkalinity	SM 2320 B	mg/l
Fisico químico	CarbonateAlkalinity	SM 2320 B	mg/l
Fisico químico	Chlorides	SM 4500 CL B	mg/l
Fisico químico	Nitrates	SM 4500 NO3-Nitratos Revision 2011	mg/l
Fisico químico	Sulfates	SM 4500 SO4 E	mg/l
Fisico químico	Calcium	SM 3500 CA D	mg/l
Fisico químico	Magnesium	SM 3500 Mg E	mg/l
Fisico químico	TotalSulfur	SM 4500 S E	mg/l
Fisico químico	Potassium	SM 3500 K B	mg/l
Fisico químico	Sodium	SM 3500 NA B	mg/l
Fisico químico	Fluorides	SM 4500 F D	mg/l
HTP	DRO	EPA 8015	mg/l
HTP	GRO	EPA 8015	mg/l
HTP	MRO	EPA 8015	mg/l
HTP	TotalHydrocarbonsEPA8015	EPA 8015	mg/l
HTP	TotalHydrocarbonsTNRCC1005	TNRCC 1005	mg/l
BTEX	Benzene	EPA 8015	mg/l
BTEX	Tolueno	EPA 8015	mg/l
BTEX	Ethylbenzene	EPA 8015	mg/l
BTEX	XyleneO	EPA 8015	mg/l
BTEX	XylenePM	EPA 8015	mg/l
BTEX	TotalXylene	EPA 8015	mg/l
Hidrocarburos policíclicos aromáticos	Naphthalene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Acenafthene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Acenaphthylene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Fluorene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Anthracene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Fenanthrene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Fluoranthene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Pyrene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	BenzoAAnthracene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Crysene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	BenzoAPyrene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	BenzoBFluoranthene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	BenzoGHIPerylene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	BenzoKFluoranthene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	DibenzoAHAnthracene	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Indeno123CDPyrene	EPA 8100	mg/l
Metales	Arsenic	SM 3114 As C	mg/l
Metales	Cadmium	SM 3111 Cd B	mg/l
Metales	Cobalt	SM 3111 Co B	mg/l
Metales	Copper	SM 3111 Cu B	mg/l
Metales	TotalChrome	SM 3111 Cr B	mg/l
Metales	Mercury	SM 3112 Hg B	mg/l
Metales	Nickel 	SM 3111 Ni B	mg/l
Metales	Lead	SM 3111 	mg/l
Metales	Zinc	SM 3111 Zn B	mg/l
