Fisico químico	pH	SM 4500 H+ B	UpH
Fisico químico	Conductividad	SM 2510 B REVISION 2011	uS/cm
Fisico químico	Residuos Secos	SM 2540 B	mg/l
Fisico químico	Alcalinidad de Bicarbonato	SM 2320 B	mg/l
Fisico químico	Alcalinidad de Carbonato	SM 2320 B	mg/l
Fisico químico	Cloruros	SM 4500 CL B	mg/l
Fisico químico	Nitratos	SM 4500 NO3-Nitratos Revision 2011	mg/l
Fisico químico	Sulfatos	SM 4500 SO4 E	mg/l
Fisico químico	Calcio	SM 3500 CA D	mg/l
Fisico químico	Magnesio (Mg)	SM 3500 Mg E	mg/l
Fisico químico	Sulfuros Totales (HS-)	SM 4500 S E	mg/l
Fisico químico	Potasio	SM 3500 K B	mg/l
Fisico químico	Sodio	SM 3500 NA B	mg/l
Fisico químico	Fluoruros	SM 4500 F D	mg/l
HTP	DRO	EPA 8015	mg/l
HTP	GRO	EPA 8015	mg/l
HTP	MRO	EPA 8015	mg/l
HTP	Hidrocarburos totales (EPA 8015)	EPA 8015	mg/l
HTP	Hidrocarburos totales (TNRCC 1005)	TNRCC 1005	mg/l
BTEX	Benceno	EPA 8015	mg/l
BTEX	Tolueno	EPA 8015	mg/l
BTEX	Etilbenceno	EPA 8015	mg/l
BTEX	Xileno (o)	EPA 8015	mg/l
BTEX	Xileno (p-m)	EPA 8015	mg/l
BTEX	Xileno total	EPA 8015	mg/l
Hidrocarburos policíclicos aromáticos	Naftaleno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Acenafteno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Acenaftileno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Fluoreno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Antraceno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Fenantreno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Fluoranteno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Pireno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Benzo(a)antraceno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Criseno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Benzo(a)pireno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Benzo(b)fluoranteno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Benzo(g,h,i)perileno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Benzo(k)fluoranteno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Dibenzo(a,h)antraceno	EPA 8100	mg/l
Hidrocarburos policíclicos aromáticos	Indeno(1,2,3-cd)pireno	EPA 8100	mg/l
Metales	Arsénico(As)	SM 3114 As C	mg/l
Metales	Cadmio (Cd)	SM 3111 Cd B	mg/l
Metales	Cobalto (Co)	SM 3111 Co B	mg/l
Metales	Cobre (Cu)	SM 3111 Cu B	mg/l
Metales	Cromo Total (Cr)	SM 3111 Cr B	mg/l
Metales	Mercurio (Hg)	SM 3112 Hg B	mg/l
Metales	Niquel 	SM 3111 Ni B	mg/l
Metales	Plomo (Pb)	SM 3111 	mg/l
Metales	Cinc (Zn)	SM 3111 Zn B	mg/l
